# Calibration Validation Tool [CVT]
# Sat Jan  1 14:58:54 2022
# File Source: c:\dreamcolor\cnd140bb88_20220101142309\Data-CND140BB88\cw_Web(sRGB).csv
# Number of Entries:  14 
# Bit Depth:  8 

Target Information
Target EOTF: ,PowerFunction,2.200000
Target Luminance: ,355.089000
Target Red [xy]: ,0.640000,0.330000
Target Green [xy]: ,0.300000,0.600000
Target Blue [xy]: ,0.150000,0.060000
Target White [xy]: ,0.312700,0.329000

Measured Red [XYZ]: ,150.465936,76.316300,5.343773
Measured Green [XYZ]: ,130.186472,259.287000,42.142079
Measured Blue [XYZ]: ,64.574623,25.176700,346.991585
CIELAB Reference White [XYZ]: ,337.496445,355.089000,386.712428
Average Measured CCT: ,6530.506717
Average Measured Gamma: ,2.181490

Red,Green,Blue,X,Y,Z,x,y,L*,a*,b*,Target X,Target Y,Target Z,Target x,Target y,Target L*,Target a*,Target b*,dE_ab,dE_94,dH_94,dE_2000,dH_2000,dE_ITP,
255,255,255,340.800362,355.089000,393.183686,0.312927,0.326047,100.000000,1.626286,-1.109437,337.496445,355.089000,386.712428,0.312700,0.329000,100.000000,-0.000000,0.000000,1.968668,1.808457,0.000001,2.527456,0.000001,1.514347,
0,0,0,0.003309,0.003320,0.008235,0.222617,0.223340,0.008445,0.001773,-0.018606,0.003309,0.003320,0.008235,0.222617,0.223340,0.008445,0.001773,-0.018606,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
26,26,26,2.307393,2.415560,2.685217,0.311466,0.326067,6.144814,0.132784,-0.219620,2.225534,2.341544,2.550076,0.312700,0.329000,5.956529,-0.000000,0.000000,0.318302,0.315944,0.000000,0.315710,0.000000,1.580615,
51,51,51,10.271337,10.769700,11.845552,0.312326,0.327480,20.175409,0.178589,-0.206226,9.787486,10.297675,11.214763,0.312700,0.329000,19.638984,0.000000,0.000000,0.601810,0.600318,0.000000,0.500099,0.000000,2.634121,
76,76,76,24.087540,25.305100,27.746237,0.312262,0.328046,32.092970,0.103828,-0.187647,23.535578,24.762409,26.967693,0.312700,0.329000,31.746684,-0.000000,0.000000,0.407316,0.406240,0.000000,0.366008,0.000000,1.439425,
102,102,102,46.471259,48.751800,53.462608,0.312547,0.327885,43.842418,0.249929,-0.238527,44.960135,47.303755,51.516521,0.312700,0.329000,43.243966,0.000000,0.000000,0.691017,0.688388,0.000000,0.707686,0.000000,2.126988,
128,128,128,76.477164,80.359700,88.164462,0.312150,0.327997,54.690060,0.131340,-0.300122,74.089587,77.951628,84.893825,0.312700,0.329000,53.976784,0.000000,0.000000,0.784912,0.782937,0.000000,0.769747,0.000000,2.217117,
153,153,153,112.981186,118.739000,129.951547,0.312386,0.328306,64.514984,0.128083,-0.227896,109.700949,115.419291,125.698273,0.312700,0.329000,63.757534,0.000000,0.000000,0.801294,0.800308,0.000000,0.696173,0.000000,2.102340,
178,178,178,157.095788,164.685000,180.350492,0.312858,0.327972,73.790474,0.469189,-0.286909,153.041673,161.019221,175.359230,0.312700,0.329000,73.119243,0.000000,0.000000,0.867759,0.859403,0.000000,0.898446,0.000000,1.789673,
204,204,204,210.762553,220.924000,242.462384,0.312635,0.327708,83.028427,0.530600,-0.439646,206.571188,217.339050,236.694777,0.312700,0.329000,82.489856,0.000000,0.000000,0.874576,0.858342,0.000000,0.961837,0.000000,1.399800,
230,230,230,273.404304,286.038000,314.740932,0.312754,0.327206,91.932812,0.875526,-0.640778,268.957141,282.976972,308.178265,0.312700,0.329000,91.546418,0.000000,0.000000,1.151713,1.104264,0.000000,1.434662,0.000000,1.236728,
255,0,0,150.465936,76.316300,5.343773,0.648208,0.328771,53.483980,82.467518,71.806370,146.440506,75.508386,6.864399,0.640000,0.330000,53.237915,80.091038,67.204039,5.185524,1.124555,1.953793,1.255609,1.953801,7.987999,
0,255,0,130.186472,259.287000,42.142079,0.301626,0.600736,88.457388,-86.274597,84.569057,126.974738,253.949477,42.324913,0.300000,0.600000,87.735648,-86.181704,83.186724,1.562173,0.809316,0.926104,0.557575,-0.926106,1.964405,
0,0,255,64.574623,25.176700,346.991585,0.147855,0.057647,32.011490,81.170045,-110.125140,64.094443,25.637777,337.564066,0.150000,0.060000,32.302807,79.198442,-107.859785,3.017270,0.516020,0.245703,0.473150,0.245704,5.925935,
