[2022/01/04 10:00:44]========== Start ==========
[2022/01/04 10:00:44][I][main] Python 3.7.3 (v3.7.3:ef4ec6ed12, Mar 25 2019, 22:22:05) [MSC v.1916 64 bit (AMD64)]
[2022/01/04 10:00:44][I][main] Automation_RSSI_WiFiSARQUERY.py 1.0.0.4
[2022/01/04 10:00:44][I][main] Decteing User: WillyWJ_Chen

[2022/01/04 10:00:44][I][setPath] ----- Setting Folder Path -----
[2022/01/04 10:00:45][E][setPath] Unexpected Error: 'Automation_RSSI_WiFiSARQUERY' object has no attribute 'mappingJsonPath'
[2022/01/04 10:00:45][I][start] ------ Begin Generating Sequence -----
[2022/01/04 10:00:46][E][main] Unexpected Error: 'Automation_RSSI_WiFiSARQUERY' object has no attribute 'inputFolder'
[2022/01/04 10:00:46]========== End ==========
[2022/01/04 10:04:45]========== Start ==========
[2022/01/04 10:04:45][I][main] Python 3.7.3 (v3.7.3:ef4ec6ed12, Mar 25 2019, 22:22:05) [MSC v.1916 64 bit (AMD64)]
[2022/01/04 10:04:45][I][main] Automation_RSSI_WiFiSARQUERY.py 1.0.0.4
[2022/01/04 10:04:45][I][main] Decteing User: WillyWJ_Chen

[2022/01/04 10:04:45][I][setPath] ----- Setting Folder Path -----
[2022/01/04 10:04:46][I][initPath] Delete Folder: ./input/WillyWJ_Chen
[2022/01/04 10:04:46][I][initPath] Create Folder: ./input/WillyWJ_Chen
[2022/01/04 10:04:46][I][initPath] Delete Folder: ./output/WillyWJ_Chen
[2022/01/04 10:04:46][I][initPath] Create Folder: ./output/WillyWJ_Chen
[2022/01/04 10:04:48][I][pullData] ----- Pulling Data ------
[2022/01/04 10:05:42][I][pullData] ----- Pulling Data Successfully -----
[2022/01/04 10:05:42][I][setPath] ----- Setting Folder Path Successfully -----
[2022/01/04 10:05:42][I][start] ------ Begin Generating Sequence -----
[2022/01/04 10:05:43][I][parseLog] ------- Start Parsing Log -------
[2022/01/04 10:05:43][W][ParseLog] Cannot find MTKlog_7249141700002.LOG by SN: 7249141700002
[2022/01/04 10:05:44][W][ParseLog] Cannot find MTKlog_7249141700003.LOG by SN: 7249141700003
[2022/01/04 10:05:44][W][ParseLog] Cannot find MTKlog_7249141700005.LOG by SN: 7249141700005
[2022/01/04 10:05:45][W][ParseLog] Cannot find MTKlog_7249141700008.LOG by SN: 7249141700008
[2022/01/04 10:05:45][W][ParseLog] Cannot find MTKlog_7249141700009.LOG by SN: 7249141700009
[2022/01/04 10:05:45][W][ParseLog] Cannot find MTKlog_7249141700011.LOG by SN: 7249141700011
[2022/01/04 10:05:46][W][ParseLog] Cannot find MTKlog_7249141700012.LOG by SN: 7249141700012
[2022/01/04 10:05:46][W][ParseLog] Cannot find MTKlog_7249141800002.LOG by SN: 7249141800002
[2022/01/04 10:05:47][W][ParseLog] Cannot find MTKlog_7249141800006.LOG by SN: 7249141800006
[2022/01/04 10:05:47][W][ParseLog] Cannot find MTKlog_7249141800012.LOG by SN: 7249141800012
[2022/01/04 10:05:47][W][ParseLog] Cannot find MTKlog_7249141800014.LOG by SN: 7249141800014
[2022/01/04 10:05:48][W][ParseLog] Cannot find MTKlog_7249141800017.LOG by SN: 7249141800017
[2022/01/04 10:05:48][W][ParseLog] Cannot find MTKlog_7249141800018.LOG by SN: 7249141800018
[2022/01/04 10:05:49][W][ParseLog] Cannot find MTKlog_7249141800020.LOG by SN: 7249141800020
