# Calibration Validation Tool [CVT]
# Sat Jan  1 16:57:34 2022
# File Source: c:\dreamcolor\cnd140bb89_20220101135559\Data-CND140BB89\cw_Web(sRGB).csv
# Number of Entries:  14 
# Bit Depth:  8 

Target Information
Target EOTF: ,PowerFunction,2.200000
Target Luminance: ,354.012000
Target Red [xy]: ,0.640000,0.330000
Target Green [xy]: ,0.300000,0.600000
Target Blue [xy]: ,0.150000,0.060000
Target White [xy]: ,0.312700,0.329000

Measured Red [XYZ]: ,150.069535,76.113900,5.340327
Measured Green [XYZ]: ,129.823569,258.260000,42.036494
Measured Blue [XYZ]: ,65.310650,27.441700,346.833914
CIELAB Reference White [XYZ]: ,336.472804,354.012000,385.539512
Average Measured CCT: ,6516.899096
Average Measured Gamma: ,2.174990

Red,Green,Blue,X,Y,Z,x,y,L*,a*,b*,Target X,Target Y,Target Z,Target x,Target y,Target L*,Target a*,Target b*,dE_ab,dE_94,dH_94,dE_2000,dH_2000,dE_ITP,
255,255,255,340.709121,354.012000,393.716010,0.313026,0.325248,100.000000,2.089650,-1.403983,336.472804,354.012000,385.539512,0.312700,0.329000,100.000000,-0.000000,0.000000,2.517500,2.261321,0.000001,3.188149,0.000002,1.942468,
0,0,0,0.003241,0.003325,0.008241,0.218880,0.224551,0.008484,0.000935,-0.018663,0.003241,0.003325,0.008241,0.218880,0.224551,0.008484,0.000935,-0.018663,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
26,26,26,2.357774,2.469040,2.712538,0.312729,0.327487,6.299967,0.127987,-0.095379,2.218798,2.334457,2.542358,0.312700,0.329000,5.956567,0.000000,0.000000,0.378684,0.378206,0.000000,0.297629,0.000000,2.551620,
51,51,51,10.334474,10.816400,11.851009,0.313148,0.327751,20.264323,0.273014,-0.125940,9.757814,10.266456,11.180764,0.312700,0.329000,19.639001,0.000000,0.000000,0.693848,0.692119,0.000000,0.605921,0.000000,3.075868,
76,76,76,24.026547,25.244000,27.647139,0.312367,0.328195,32.102914,0.095697,-0.155537,23.464207,24.687318,26.885915,0.312700,0.329000,31.746693,0.000000,0.000000,0.400304,0.399627,0.000000,0.351991,-0.000000,1.464222,
102,102,102,46.097820,48.371800,52.761192,0.313099,0.328544,43.746996,0.228629,-0.053101,44.823781,47.160294,51.360284,0.312700,0.329000,43.243971,0.000000,0.000000,0.555090,0.554058,0.000000,0.579092,-0.000000,1.787665,
128,128,128,76.101876,79.980900,87.788941,0.312057,0.327963,54.650313,0.111533,-0.318537,73.864881,77.715209,84.636351,0.312700,0.329000,53.976788,0.000000,0.000000,0.753354,0.751105,0.000000,0.736789,0.000000,2.104306,
153,153,153,112.834541,118.467000,130.008321,0.312293,0.327882,64.534962,0.243258,-0.354581,109.368231,115.069229,125.317036,0.312700,0.329000,63.757536,0.000000,0.000000,0.888422,0.884500,0.000000,0.819230,0.000000,2.192142,
178,178,178,156.394413,163.784000,180.064402,0.312637,0.327409,73.717222,0.599366,-0.488192,152.577499,160.530851,174.827368,0.312700,0.329000,73.119245,-0.000000,0.000000,0.977317,0.956894,0.000000,1.094396,0.000001,1.695394,
204,204,204,210.569231,220.446000,242.569207,0.312610,0.327273,83.057205,0.708677,-0.588605,205.944654,216.679857,235.976878,0.312700,0.329000,82.489857,0.000000,0.000000,1.081925,1.050877,0.000000,1.242768,-0.000000,1.559731,
230,230,230,273.072879,284.846000,314.875359,0.312872,0.326361,91.891866,1.335606,-0.927154,268.141385,282.118694,307.243551,0.312700,0.329000,91.546418,0.000000,0.000000,1.662165,1.553910,0.000000,2.113837,0.000000,1.555653,
255,0,0,150.069535,76.113900,5.340327,0.648182,0.328752,53.492828,82.480272,71.783334,145.996369,75.279378,6.843580,0.640000,0.330000,53.237918,80.091042,67.204043,5.171393,1.119636,1.928567,1.248053,1.928575,7.970773,
0,255,0,129.823569,258.260000,42.036494,0.301831,0.600437,88.424974,-86.105011,84.496322,126.589621,253.179241,42.196540,0.300000,0.600000,87.735648,-86.181704,83.186724,1.481924,0.785913,0.991977,0.543437,-0.991979,1.909800,
0,0,255,65.310650,27.441700,346.833914,0.148573,0.062426,33.460177,76.309215,-107.793575,63.900077,25.560031,336.540406,0.150000,0.060000,32.302816,79.198457,-107.859805,3.113131,1.414322,2.304808,1.394321,-2.304811,5.605064,
