# Calibration Validation Tool [CVT]
# Sat Jan  1 14:06:40 2022
# File Source: c:\dreamcolor\cnd140bb8b_20220101135559\Data-CND140BB8B\cw_Web(sRGB).csv
# Number of Entries:  14 
# Bit Depth:  8 

Target Information
Target EOTF: ,PowerFunction,2.200000
Target Luminance: ,355.778000
Target Red [xy]: ,0.640000,0.330000
Target Green [xy]: ,0.300000,0.600000
Target Blue [xy]: ,0.150000,0.060000
Target White [xy]: ,0.312700,0.329000

Measured Red [XYZ]: ,148.967669,75.625800,5.270787
Measured Green [XYZ]: ,129.058048,257.779000,41.493209
Measured Blue [XYZ]: ,64.044571,24.553500,344.372478
CIELAB Reference White [XYZ]: ,338.151309,355.778000,387.462788
Average Measured CCT: ,6507.649275
Average Measured Gamma: ,2.182139

Red,Green,Blue,X,Y,Z,x,y,L*,a*,b*,Target X,Target Y,Target Z,Target x,Target y,Target L*,Target a*,Target b*,dE_ab,dE_94,dH_94,dE_2000,dH_2000,dE_ITP,
255,255,255,339.629759,355.778000,390.115264,0.312872,0.327748,100.000000,0.727633,-0.455346,338.151309,355.778000,387.462788,0.312700,0.329000,100.000000,0.000000,0.000000,0.858365,0.826443,0.000000,1.151973,0.000000,0.673214,
0,0,0,0.003241,0.003325,0.008241,0.218880,0.224551,0.008442,0.000930,-0.018570,0.003241,0.003325,0.008241,0.218880,0.224551,0.008442,0.000930,-0.018570,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
26,26,26,2.338083,2.438060,2.686499,0.313305,0.326702,6.190040,0.239659,-0.125853,2.229851,2.346086,2.555023,0.312700,0.329000,5.956525,0.000000,0.000000,0.357497,0.355037,0.000000,0.403127,0.000000,1.923206,
51,51,51,10.191803,10.632400,11.649073,0.313852,0.327420,19.997753,0.439798,-0.124416,9.806476,10.317655,11.236522,0.312700,0.329000,19.638982,0.000000,0.000000,0.581050,0.573832,0.000000,0.706238,0.000000,2.035352,
76,76,76,23.619271,24.681500,27.254301,0.312610,0.326669,31.663816,0.467751,-0.380119,23.581245,24.810456,27.020019,0.312700,0.329000,31.746683,0.000000,0.000000,0.608398,0.592635,0.000000,0.786630,-0.000000,0.945145,
102,102,102,45.841660,47.930900,52.758513,0.312846,0.327104,43.466195,0.534246,-0.364685,45.047372,47.395540,51.616481,0.312700,0.329000,43.243965,-0.000000,0.000000,0.683960,0.666683,0.000000,0.887409,0.000001,1.184155,
128,128,128,75.438619,79.053000,86.853267,0.312576,0.327552,54.259396,0.405505,-0.355400,74.233346,78.102881,85.058548,0.312700,0.329000,53.976784,0.000000,0.000000,0.608780,0.597495,0.000000,0.744649,0.000000,1.080219,
153,153,153,111.863388,117.245000,128.735363,0.312604,0.327643,64.124083,0.440745,-0.377199,109.913807,115.643245,125.942172,0.312700,0.329000,63.757534,0.000000,-0.000000,0.686216,0.673786,0.000000,0.808363,0.000000,1.193964,
178,178,178,155.345762,162.785000,178.613251,0.312728,0.327704,73.386052,0.518753,-0.384720,153.338628,161.331655,175.699489,0.312700,0.329000,73.119243,0.000000,-0.000000,0.698785,0.681963,0.000000,0.874299,-0.000000,0.932501,
204,204,204,208.649461,218.821000,240.391609,0.312414,0.327644,82.649440,0.455940,-0.494098,206.972010,217.760765,237.154049,0.312700,0.329000,82.489856,-0.000000,0.000000,0.691001,0.671806,0.000000,0.834957,0.000001,0.690254,
230,230,230,270.388083,283.305000,310.893080,0.312737,0.327677,91.518461,0.641182,-0.470968,269.479014,283.526049,308.776241,0.312700,0.329000,91.546417,-0.000000,0.000000,0.796057,0.768577,0.000000,1.045842,0.000001,0.644754,
255,0,0,148.967669,75.625800,5.270787,0.648068,0.329002,53.229036,82.048454,71.617174,146.724651,75.654898,6.877718,0.640000,0.330000,53.237914,80.091037,67.204039,4.827766,1.081109,2.079676,1.231345,2.079684,7.621835,
0,255,0,129.058048,257.779000,41.493209,0.301305,0.601823,88.187145,-86.398844,84.657345,127.221115,254.442229,42.407038,0.300000,0.600000,87.735648,-86.181704,83.186723,1.553618,0.583403,0.902873,0.431794,-0.902875,1.710808,
0,0,255,64.044571,24.553500,344.372478,0.147919,0.056709,31.581277,82.048325,-110.256020,64.218806,25.687522,338.219045,0.150000,0.060000,32.302807,79.198441,-107.859783,3.792676,0.924588,0.867255,0.809110,0.867256,6.119661,
