testscript,item,SN,version,starttime,endtime,testresult,judgement,value,usl,lsl,time,remark
GFI20_RF_Zigbee,ZIGBEE_2450_TX_FREQ2425_ANT1_Power,5891801300068,3.0.0.3,2020/07/29 10:26:13,2020/07/29 10:28:09,Pass,PASS,9.338,12,6,26.648,dBm
GFI20_RF_Zigbee,ZIGBEE_2450_TX_FREQ2455_ANT1_Power,5891801300068,3.0.0.3,2020/07/29 10:26:13,2020/07/29 10:28:09,Pass,PASS,9.286,12,6,26.922,dBm
GFI20_RF_Zigbee,ZIGBEE_2450_TX_FREQ2470_ANT1_Power,5891801300068,3.0.0.3,2020/07/29 10:26:13,2020/07/29 10:28:09,Pass,PASS,8.697000000000001,12,6,26.966,dBm
GFI20_RF_Zigbee,ZIGBEE_2450_RX_FREQ2445_ANT1_LNAONRSSI,5891801300068,3.0.0.3,2020/07/29 10:26:13,2020/07/29 10:28:09,Pass,PASS,-15,-9,-18,28.973,dBm
GFI20_RF_Zigbee,ZIGBEE_2450_RX_FREQ2445_ANT1_LNAOFFRSSI,5891801300068,3.0.0.3,2020/07/29 10:26:13,2020/07/29 10:28:09,Pass,PASS,-28,-24,-30,28.973,dBm
GFI20_RF_LTE,LTE_3G_TX_FREQ897.4_ANT1_Power,5891801300068,3.0.0.11,2020/07/29 10:28:09,2020/07/29 10:30:28,Fail,PASS,23.127000000000002,26,21,9.389,dBm
GFI20_RF_LTE,LTE_3G_TX_FREQ1950_ANT1_Power,5891801300068,3.0.0.11,2020/07/29 10:28:09,2020/07/29 10:30:28,Fail,PASS,20.781,23.5,18.5,9.41,dBm
GFI20_RF_LTE,LTE_2G_TX_FREQ914.8_ANT1_Power,5891801300068,3.0.0.11,2020/07/29 10:28:09,2020/07/29 10:30:28,Fail,FAIL,31.52,35,28,10.124,dBm
GFI20_RF_Zigbee,ZIGBEE_2450_TX_FREQ2425_ANT1_Power,5891801300068,3.0.0.3,2020/07/29 10:26:13,2020/07/29 10:28:09,Pass,PASS,9.234,12,6,26.591,dBm
GFI20_RF_Zigbee,ZIGBEE_2450_TX_FREQ2455_ANT1_Power,5891801300068,3.0.0.3,2020/07/29 10:26:13,2020/07/29 10:28:09,Pass,PASS,9.21,12,6,26.943,dBm
GFI20_RF_Zigbee,ZIGBEE_2450_TX_FREQ2470_ANT1_Power,5891801300068,3.0.0.3,2020/07/29 10:26:13,2020/07/29 10:28:09,Pass,PASS,9.392000000000001,12,6,26.943,dBm
GFI20_RF_Zigbee,ZIGBEE_2450_RX_FREQ2445_ANT1_LNAONRSSI,5891801300068,3.0.0.3,2020/07/29 10:26:13,2020/07/29 10:28:09,Pass,PASS,-15,-9,-18,29.011,dBm
GFI20_RF_Zigbee,ZIGBEE_2450_RX_FREQ2445_ANT1_LNAOFFRSSI,5891801300068,3.0.0.3,2020/07/29 10:26:13,2020/07/29 10:28:09,Pass,PASS,-28,-24,-30,29.011,dBm
GFI20_RF_LTE,LTE_3G_TX_FREQ897.4_ANT1_Power,5891801300068,3.0.0.11,2020/07/29 10:28:09,2020/07/29 10:30:28,Fail,PASS,23.156,26,21,9.445,dBm
GFI20_RF_LTE,LTE_3G_TX_FREQ1950_ANT1_Power,5891801300068,3.0.0.11,2020/07/29 10:28:09,2020/07/29 10:30:28,Fail,PASS,20.744999999999997,23.5,18.5,9.554,dBm
GFI20_RF_LTE,LTE_2G_TX_FREQ914.8_ANT1_Power,5891801300068,3.0.0.11,2020/07/29 10:28:09,2020/07/29 10:30:28,Fail,FAIL,31.551,35,28,10.204,dBm
