testscript,item,SN,version,starttime,endtime,testresult,judgement,value,usl,lsl,time,remark
GFI20_RF_Zigbee,ZIGBEE_2450_TX_FREQ2405_ANT1_Power,6011643700031,3.0.0.7,2020/12/11 22:31:53,2020/12/11 22:34:27,Pass,PASS,10.499,18,7,16.783,dBm
GFI20_RF_Zigbee,ZIGBEE_2450_TX_FREQ2440_ANT1_Power,6011643700031,3.0.0.7,2020/12/11 22:31:53,2020/12/11 22:34:27,Pass,PASS,10.933,18,7,16.531,dBm
GFI20_RF_Zigbee,ZIGBEE_2450_TX_FREQ2480_ANT1_Power,6011643700031,3.0.0.7,2020/12/11 22:31:53,2020/12/11 22:34:27,Pass,PASS,10.139,18,7,16.548,dBm
GFI20_RF_Zigbee,ZIGBEE_2450_RX_FREQ2445_ANT1_LNAONRSSI,6011643700031,3.0.0.7,2020/12/11 22:31:53,2020/12/11 22:34:27,Pass,PASS,-13,-6,-14,15.54,dBm
GFI20_RF_Zigbee,ZIGBEE_868_TX_FREQ863.25_ANT1_Power,6011643700031,3.0.0.7,2020/12/11 22:31:53,2020/12/11 22:34:27,Pass,PASS,12.602,18,9,17.064,dBm
GFI20_RF_Zigbee,ZIGBEE_868_TX_FREQ867.45_ANT1_Power,6011643700031,3.0.0.7,2020/12/11 22:31:53,2020/12/11 22:34:27,Pass,PASS,13.454,18,9,30.898,dBm
GFI20_RF_Zigbee,ZIGBEE_868_TX_FREQ871.05_ANT1_Power,6011643700031,3.0.0.7,2020/12/11 22:31:53,2020/12/11 22:34:27,Pass,PASS,12.992,18,9,17.259,dBm
GFI20_RF_Zigbee,ZIGBEE_868_RX_FREQ863.25_ANT1_LNAONRSSI,6011643700031,3.0.0.7,2020/12/11 22:31:53,2020/12/11 22:34:27,Pass,PASS,-17,-5,-25,16.499,dBm
GFI20_RF_Mesh,MESH_HGMON_TX_FREQ869.525_ANT1_Power,6011643700031,3.0.0.6,2020/12/11 22:34:27,2020/12/11 22:36:14,Pass,PASS,25.127,28,20,26.701,dBm
GFI20_RF_Mesh,MESH_HGMON_RX_FREQ869.525_ANT1_RSSI,6011643700031,3.0.0.6,2020/12/11 22:34:27,2020/12/11 22:36:14,Pass,PASS,-31,-28,-34,6.053,dBm
GFI20_RF_Mesh,MESH_HGMOFF_TX_FREQ869.525_ANT1_Power,6011643700031,3.0.0.6,2020/12/11 22:34:27,2020/12/11 22:36:14,Pass,PASS,11.807,18,4,52.114,dBm
GFI20_RF_Mesh,MESH_HGMOFF_RX_FREQ869.525_ANT1_RSSI,6011643700031,3.0.0.6,2020/12/11 22:34:27,2020/12/11 22:36:14,Pass,PASS,-48,-44,-54,5.919,dBm
GFI20_RF_2G3G,3G_TX_FREQ897.4_ANT1_Power,6011643700031,3.0.1.9,2020/12/11 22:36:14,2020/12/11 22:37:46,Pass,PASS,24.337,26,21,9.685,dBm
GFI20_RF_2G3G,3G_TX_FREQ1950_ANT1_Power,6011643700031,3.0.1.9,2020/12/11 22:36:14,2020/12/11 22:37:46,Pass,PASS,22.08,23.5,18.5,9.438,dBm
GFI20_RF_2G3G,2G_TX_FREQ914.8_ANT1_Power,6011643700031,3.0.1.9,2020/12/11 22:36:14,2020/12/11 22:37:46,Pass,PASS,32.437,35,28,9.85,dBm
GFI20_RF_2G3G,2G_RX_FREQ959.8_ANT1_RSSI,6011643700031,3.0.1.9,2020/12/11 22:36:14,2020/12/11 22:37:46,Pass,PASS,-58,-55,-65,7.612,dBm
