item,SN,version,starttime,endtime,testresult,reason,data1,data2,data3,data4,data5,data6,data7,data8,data9,data10
GFI20Bootup,6011643700031,3.0.0.5,2020/12/11 22:30:24,2020/12/11 22:30:26,Pass,,,,,,,,,,,
CountDown,6011643700031,3.0.0.3,2020/12/11 22:30:26,2020/12/11 22:31:38,Pass,,,,,,,,,,,
WaitConnect,6011643700031,3.0.0.7,2020/12/11 22:31:38,2020/12/11 22:31:40,Pass,,,,,,,,,,,
GFI20SetOMmode,6011643700031,3.0.0.1,2020/12/11 22:31:40,2020/12/11 22:31:42,Pass,,,,,,,,,,,
GFI20CompalSNRW,6011643700031,3.0.0.4,2020/12/11 22:31:42,2020/12/11 22:31:45,Pass,,,,,,,,,,,
GFI20ControlLED_OFF,6011643700031,3.0.0.3,2020/12/11 22:31:45,2020/12/11 22:31:53,Pass,,,,,,,,,,,
GFI20_RF_Zigbee,6011643700031,3.0.0.7,2020/12/11 22:31:53,2020/12/11 22:34:27,Pass,,,,,,,,,,,
GFI20_RF_Mesh,6011643700031,3.0.0.6,2020/12/11 22:34:27,2020/12/11 22:36:14,Pass,,,,,,,,,,,
GFI20_RF_2G3G,6011643700031,3.0.1.9,2020/12/11 22:36:14,2020/12/11 22:37:46,Pass,,,,,,,,,,,
GFI20_RF_WriteData,6011643700031,3.0.0.2,2020/12/11 22:37:46,2020/12/11 22:38:20,Pass,,,,,,,,,,,
GFI20ControlLED_ON,6011643700031,3.0.0.3,2020/12/11 22:38:20,2020/12/11 22:38:32,Pass,,,,,,,,,,,
GFI20LastScript,6011643700031,3.0.0.12,2020/12/11 22:38:33,2020/12/11 22:38:46,Pass,,,,,,,,,,,
