Avg5, Avg30, Avg100, Avg200
3954, 3706, 4341, 4937
3936, 3706, 4330, 4932
3912, 3711, 4317, 4927
3901, 3718, 4305, 4921
3909, 3734, 4293, 4914
3937, 3752, 4281, 4908
3976, 3771, 4269, 4902
4010, 3791, 4257, 4895
4028, 3804, 4245, 4888
4043, 3822, 4235, 4882
4057, 3837, 4224, 4875
4091, 3864, 4215, 4867
4153, 3895, 4208, 4860
4235, 3927, 4202, 4853
4331, 3961, 4198, 4847
4408, 3992, 4192, 4840
4474, 4024, 4190, 4833
4490, 4043, 4185, 4826
4503, 4066, 4182, 4818
4508, 4095, 4179, 4812
4527, 4119, 4175, 4805
4493, 4138, 4170, 4799
4488, 4159, 4167, 4792
4466, 4178, 4163, 4785
4462, 4201, 4161, 4779
4503, 4231, 4162, 4773
4607, 4263, 4164, 4768
4776, 4305, 4171, 4764
4972, 4351, 4178, 4760
5112, 4394, 4186, 4757
5224, 4442, 4195, 4754
5372, 4502, 4208, 4752
5406, 4554, 4220, 4751
5442, 4608, 4234, 4750
5475, 4655, 4247, 4748
5487, 4701, 4259, 4747
5398, 4739, 4271, 4745
5370, 4780, 4282, 4744
5269, 4815, 4290, 4741
5200, 4848, 4299, 4738
5208, 4893, 4310, 4737
5243, 4931, 4321, 4735
5242, 4962, 4329, 4733
5313, 4994, 4338, 4733
5411, 5028, 4350, 4732
5448, 5066, 4362, 4732
5465, 5096, 4371, 4730
5536, 5136, 4384, 4730
5619, 5180, 4397, 4731
5663, 5220, 4410, 4731
5717, 5264, 4423, 4733
5791, 5312, 4435, 4733
5792, 5354, 4445, 4732
5746, 5394, 4454, 4731
5701, 5427, 4465, 4729
5621, 5451, 4474, 4727
5546, 5469, 4484, 4725
5506, 5475, 4493, 4723
5553, 5490, 4509, 4724
5596, 5507, 4523, 4726
5659, 5523, 4538, 4728
5729, 5528, 4551, 4729
5831, 5546, 4566, 4732
5872, 5562, 4582, 4735
5875, 5574, 4596, 4737
5883, 5589, 4610, 4738
5889, 5610, 4624, 4740
5870, 5629, 4640, 4742
5832, 5656, 4655, 4744
5845, 5682, 4671, 4746
5876, 5701, 4689, 4748
5901, 5720, 4710, 4750
5894, 5738, 4731, 4751
5863, 5748, 4751, 4751
5818, 5749, 4772, 4752
5748, 5751, 4794, 4752
5661, 5753, 4814, 4752
5602, 5749, 4835, 4753
5605, 5745, 4856, 4754
5604, 5740, 4877, 4756
5662, 5741, 4900, 4759
5750, 5746, 4925, 4762
5868, 5762, 4952, 4767
5944, 5778, 4978, 4771
6023, 5793, 5003, 4776
6079, 5818, 5030, 4780
6110, 5840, 5055, 4785
6102, 5861, 5077, 4789
6107, 5871, 5100, 4795
6079, 5874, 5122, 4798
6031, 5880, 5143, 4803
5987, 5883, 5164, 4807
5986, 5887, 5187, 4813
5975, 5888, 5209, 4817
6025, 5899, 5232, 4821
6070, 5911, 5255, 4826
6131, 5923, 5277, 4832
6133, 5931, 5298, 4837
6149, 5941, 5320, 4842
6147, 5949, 5341, 4847
6134, 5954, 5364, 4852
6137, 5963, 5387, 4858
6172, 5977, 5411, 4864
6177, 5993, 5433, 4869
6172, 6008, 5454, 4874
6159, 6022, 5475, 4878
6119, 6039, 5495, 4882
6073, 6056, 5514, 4886
6075, 6071, 5536, 4890
6087, 6089, 5557, 4896
6125, 6099, 5578, 4901
6210, 6116, 5600, 4908
6275, 6124, 5621, 4914
6323, 6134, 5640, 4921
6369, 6146, 5658, 4928
6392, 6152, 5677, 4935
6386, 6162, 5696, 4943
6378, 6170, 5715, 4950
6360, 6176, 5733, 4957
6312, 6185, 5749, 4964
6263, 6190, 5764, 4970
6156, 6190, 5779, 4975
6075, 6184, 5794, 4981
5937, 6170, 5807, 4985
5835, 6154, 5817, 4989
5765, 6140, 5827, 4995
5740, 6125, 5836, 5000
5728, 6117, 5842, 5006
5764, 6106, 5846, 5012
5786, 6093, 5851, 5018
5814, 6086, 5857, 5026
5811, 6070, 5858, 5033
5801, 6055, 5862, 5041
5746, 6034, 5861, 5048
5673, 6010, 5861, 5054
5595, 5992, 5862, 5061
5548, 5975, 5865, 5068
5526, 5964, 5869, 5076
5566, 5949, 5876, 5083
5614, 5931, 5882, 5090
5624, 5909, 5883, 5096
5658, 5883, 5886, 5104
5645, 5859, 5890, 5109
5606, 5830, 5891, 5115
5576, 5799, 5890, 5120
5588, 5775, 5890, 5126
5565, 5746, 5891, 5131
5510, 5714, 5888, 5136
5500, 5686, 5885, 5141
5478, 5660, 5881, 5146
5442, 5638, 5876, 5150
5445, 5628, 5874, 5154
5494, 5617, 5873, 5159
5512, 5615, 5873, 5164
5554, 5613, 5873, 5169
5542, 5601, 5872, 5173
5508, 5589, 5872, 5178
5476, 5575, 5872, 5183
5447, 5563, 5868, 5188
5395, 5548, 5863, 5193
5337, 5521, 5856, 5197
5274, 5500, 5849, 5200
5216, 5478, 5841, 5204
5118, 5458, 5830, 5206
5040, 5443, 5821, 5209
5035, 5428, 5814, 5212
5032, 5414, 5806, 5215
5036, 5396, 5799, 5220
5105, 5381, 5794, 5224
5177, 5370, 5788, 5230
5205, 5358, 5780, 5235
5215, 5340, 5772, 5241
5264, 5333, 5768, 5250
5284, 5328, 5765, 5258
5286, 5322, 5761, 5267
5294, 5309, 5758, 5276
5308, 5297, 5754, 5284
5250, 5289, 5750, 5293
5181, 5274, 5744, 5300
5155, 5268, 5739, 5308
5116, 5255, 5730, 5315
5087, 5237, 5721, 5323
5011, 5209, 5708, 5330
4973, 5185, 5695, 5337
4924, 5163, 5684, 5343
4895, 5147, 5671, 5350
4862, 5130, 5659, 5357
4897, 5112, 5647, 5362
4845, 5084, 5632, 5366
4762, 5057, 5618, 5370
4717, 5043, 5605, 5374
4665, 5028, 5593, 5378
4635, 5015, 5580, 5383
4674, 5010, 5567, 5388
4722, 5004, 5553, 5392
4758, 4997, 5540, 5397
4813, 4992, 5527, 5402
4836, 4982, 5515, 5407
4852, 4968, 5502, 5411
4878, 4955, 5490, 5415
4887, 4944, 5478, 5421
4895, 4938, 5465, 5426
4905, 4922, 5451, 5431
4924, 4908, 5439, 5436
4914, 4893, 5427, 5441
4893, 4877, 5414, 5445
4860, 4864, 5402, 5448
4823, 4851, 5389, 5452
4756, 4837, 5374, 5455
4706, 4818, 5358, 5457
4661, 4802, 5341, 5460
4592, 4781, 5321, 5461
4543, 4773, 5302, 5461
4549, 4767, 5285, 5463
4561, 4757, 5267, 5463
4576, 4748, 5250, 5464
4596, 4737, 5231, 5464
4580, 4720, 5212, 5464
4578, 4722, 5196, 5464
4541, 4720, 5179, 5464
4503, 4713, 5162, 5463
4468, 4704, 5147, 5463
4447, 4689, 5131, 5463
4377, 4673, 5118, 5462
4317, 4653, 5103, 5460
4270, 4631, 5087, 5457
