firstavg5,secondavg30,thirdavg100,forthavg200
5083,5662,5533,4937
5185,5698,5534,4932
5293,5728,5536,4927
5336,5749,5537,4921
5344,5763,5535,4914
5386,5779,5536,4908
5455,5783,5534,4902
5534,5787,5533,4895
5656,5796,5531,4888
5712,5804,5529,4882
5794,5815,5526,4875
5835,5814,5520,4867
5855,5808,5513,4860
5869,5794,5503,4853
5920,5794,5497,4847
5923,5788,5488,4840
5870,5782,5477,4833
5845,5778,5467,4826
5792,5765,5455,4818
5774,5757,5445,4812
5814,5750,5436,4805
5846,5753,5428,4799
5910,5754,5417,4792
5964,5759,5407,4785
5988,5760,5397,4779
5971,5753,5384,4773
6000,5754,5372,4768
5934,5744,5357,4764
5879,5731,5343,4760
5842,5715,5329,4757
5784,5699,5313,4754
5695,5684,5297,4752
5642,5672,5281,4751
5617,5658,5265,4750
5591,5649,5249,4748
5605,5644,5234,4747
5639,5642,5219,4745
5664,5639,5205,4744
5648,5633,5192,4741
5647,5629,5178,4738
5631,5626,5163,4737
5645,5622,5149,4735
5671,5622,5137,4733
5692,5625,5127,4733
5701,5622,5115,4732
5697,5619,5102,4732
5691,5607,5089,4730
5702,5596,5076,4730
5753,5587,5064,4731
5792,5578,5052,4731
5832,5565,5042,4733
5856,5549,5031,4733
5852,5529,5019,4732
5796,5507,5007,4731
5717,5483,4993,4729
5645,5464,4981,4727
5577,5442,4967,4725
5501,5421,4953,4723
5441,5403,4940,4724
5446,5392,4929,4726
5457,5380,4917,4728
5443,5362,4907,4729
5444,5347,4897,4732
5467,5344,4888,4735
5474,5335,4877,4737
5495,5324,4867,4738
5521,5312,4856,4740
5565,5302,4845,4742
5601,5290,4833,4744
5601,5276,4821,4746
5587,5256,4806,4748
5557,5237,4789,4750
5515,5219,4770,4751
5460,5205,4751,4751
5441,5192,4731,4752
5375,5182,4710,4752
5341,5177,4690,4752
5300,5171,4670,4753
5275,5165,4653,4754
5221,5156,4634,4756
5224,5153,4618,4759
5211,5147,4600,4762
5203,5142,4582,4767
5174,5136,4564,4771
5172,5130,4548,4776
5141,5121,4531,4780
5097,5109,4515,4785
5058,5099,4502,4789
5087,5091,4489,4795
5102,5082,4475,4798
5121,5077,4462,4803
5146,5072,4451,4807
5170,5065,4438,4813
5145,5049,4424,4817
5118,5034,4411,4821
5088,5018,4398,4826
5072,5004,4386,4832
5068,4986,4375,4837
5086,4972,4364,4842
5100,4952,4353,4847
5142,4931,4341,4852
5194,4908,4330,4858
5224,4877,4317,4864
5224,4843,4305,4869
5221,4810,4293,4874
5203,4773,4281,4878
5163,4732,4269,4882
5130,4695,4257,4886
5099,4664,4245,4890
5069,4634,4235,4896
5032,4605,4224,4901
4981,4578,4215,4908
4943,4557,4208,4914
4903,4539,4202,4921
4883,4520,4198,4928
4877,4501,4192,4935
4880,4490,4190,4943
4856,4474,4185,4950
4836,4462,4182,4957
4811,4449,4179,4964
4769,4438,4175,4970
